Arquivo;Linhas;Módulo alvo (sugestão)
"assets/js/adm-hotel-alojamentos-v2-helpers.js";"133";"assets/js/adm-hotel-alojamentos-helpers.js"
"assets/js/adm-hotel-alojamentos-v2-view.js";"204";"assets/js/adm-hotel-alojamentos-view.js"
"assets/js/adm-hotel-alojamentos-v2.js";"427";"assets/js/adm-hotel-alojamentos.js"
"assets/js/dashboard-os-card-fix.js";"93";"assets/js/dashboard-os-card.js"
"assets/js/emails-layout-v2.js";"127";"assets/js/emails-layout.js"
"assets/js/epiRhPresetPatch.js";"95";"assets/js/epiRhPreset.js"
"assets/js/gestor-app-dashboard-live-fix.js";"219";"assets/js/gestor-app-dashboard-live.js"
"assets/js/gestor-app-full-modules-fix.js";"53";"assets/js/gestor-app-full-modules.js"
"assets/js/gestor-app-home-loader-v2.js";"1";"assets/js/gestor-app-home-loader.js"
"assets/js/gestor-app-home-loader-v3.js";"1";"assets/js/gestor-app-home-loader.js"
"assets/js/gestor-app-home-model-v2.js";"47";"assets/js/gestor-app-home-model.js"
"assets/js/gestor-app-mobile-home-fix.js";"248";"assets/js/gestor-app-mobile-home.js"
"assets/js/gestor-app-supervisao-fix.js";"201";"assets/js/gestor-app-supervisao.js"
"assets/js/gestor-menu-ajustes.js";"37";"assets/js/gestor-menu.js"
"assets/js/gestor-mobile-modules-v2.js";"121";"assets/js/gestor-mobile-modules.js"
"assets/js/hotel-relatorio-v2.js";"609";"assets/js/hotel-relatorio.js"
"assets/js/logistica-abertura-os-layout-v3.js";"21";"assets/js/logistica-abertura-os-layout.js"
"assets/js/logistica-fob-page-v9.js";"939";"assets/js/logistica-fob-page.js"
"assets/js/logistica-fob-regional-v6.js";"160";"assets/js/logistica-fob-regional.js"
"assets/js/logistica-informativos-efetivos-fix.js";"291";"assets/js/logistica-informativos-efetivos.js"
"assets/js/modules/dre-agentes-fix.js";"368";"assets/js/dre-agentes.js"
"assets/js/operacional-filtros-click-fix.js";"106";"assets/js/operacional-filtros-click.js"
"assets/js/operacional-motorista-placa-patch.js";"93";"assets/js/operacional-motorista-placa.js"
"assets/js/operacional-os-ativas-patch.js";"80";"assets/js/operacional-os-ativas.js"
"assets/js/ti-agentes-filas-v2.js";"378";"assets/js/ti-agentes-filas.js"
