"Rota";"Página HTML";"Arquivo principal";"Arquivos complementares";"Hotfixes carregados";"Tabelas Supabase";"RPCs";"Buckets";"Integrações"
"_preview_emails";"_preview_emails.html";"";"";"";"";"";"";""
"adm-app";"adm-app.html";"assets/js/adm-app.js";"";"";"";"";"";""
"adm-compras";"adm-compras.html";"assets/js/adm-compras.js";"";"assets/js/admComprasFinanceiroGroupingPatch.js | assets/js/admComprasEpiGroupingPatch.js";"compras_cotacoes | compras_itens | compras_notificacoes_config | compras_patrimonios_cadastro | compras_solicitacoes | financeiro_pagamentos | rh_epi_registros | termos_celular";"";"notas-fiscais";"Botconversa"
"adm-conferencia";"adm-conferencia.html";"assets/js/adm-conferencia.js";"";"";"app_logs_usuarios | auditoria_solicitacoes | conferencia_despesas | conferencia_geocoding_cache | conferencia_localizacao_colaboradores | conferencia_uber_corridas | operacional_auditoria_colaborador | operacional_os | programacao_conferencia_status | programacao_dia | relatorio_resultado_diario | vw_conferencia_uber_corridas";"auto_validar_uber_por_laudo";"";""
"adm-hotel";"adm-hotel.html";"assets/js/adm-hotel.js";"assets/js/adm-hotel-nf-alert.js | assets/js/adm-hotel-separacao-modulos.js | assets/js/adm-hotel-alojamentos-pagamentos.js";"assets/js/adm-hotel-fluxo-v2-bootstrap.js | assets/js/adm-hotel-fluxo-v2.js | assets/js/adm-hotel-fluxo-v2-history.js | assets/js/adm-hotel-alojamentos-v2.js";"financeiro_pagamentos | hospedagem_alojamentos | hospedagem_cotacoes | hospedagem_custos_extras | hospedagem_documentos | hospedagem_financeiro | hospedagem_historico_atual_colaboradores | hospedagem_historico_colaboradores | hospedagem_hoteis | hospedagem_mensagens | hospedagem_painel_geral | hospedagem_reservas | hospedagem_solicitacao_colaboradores | hospedagem_solicitacoes | programacao_estadia";"";"hospedagem-documentos";"Botconversa"
"adm-logistica";"adm-logistica.html";"";"";"";"";"";"";""
"adm-operacional";"adm-operacional.html";"assets/js/adm-operacional.js";"";"";"";"";"";""
"adm-patrimonio";"adm-patrimonio.html";"assets/js/patrimonioRelatorios.js";"";"";"patrimonios_snapshot";"";"";""
"admin-auditoria";"admin-auditoria.html";"assets/js/admin-auditoria.js";"";"";"auditoria_agrupamentos | auditoria_solicitacoes | financeiro_pagamentos | grm_auditorias_importacoes | operacional_auditoria_colaborador";"";"";""
"admin-configuracoes";"admin-configuracoes.html";"assets/js/admin-configuracoes.js";"";"";"app_modulos | app_usuarios | compras_notificacoes_config | email_accounts | grm_sync_jobs | ti_integracoes";"";"";"Bfleet/RedGPS | Botconversa | Correios | Detran | GRM Server"
"admin-usuarios";"admin-usuarios.html";"assets/js/admin-usuarios.js";"assets/js/admin-usuarios-create-password.js";"";"";"";"";""
"advertencias";"advertencias.html";"assets/js/advertenciasRh.js";"";"";"rh_advertencias";"";"";""
"auditoria";"auditoria.html";"assets/js/auditoria.js";"";"";"auditoria_solicitacoes | operacional_auditoria_colaborador | programacao_colaboradores | relatorio_resultado_diario";"";"";""
"btg-logistica";"btg-logistica.html";"assets/js/btg-logistica-agentes-ui.js";"";"";"grm_sync_jobs | logistica_btg_distribuicao | logistica_btg_lista_os | logistica_btg_solicitacoes | operacional_os";"";"";"GRM Server"
"cargas-irregularidades";"cargas-irregularidades.html";"";"";"";"";"";"";""
"cartao-ponto";"cartao-ponto.html";"assets/js/cartaoPonto.js";"";"";"rh_cartao_ponto";"";"";""
"chamados-ti";"chamados-ti.html";"assets/js/chamados-ti.js";"";"";"chamados_ti | chamados_ti_comentarios";"";"";""
"clinicas-sst";"clinicas-sst.html";"assets/js/clinicas-sst.js";"";"";"rh_clinicas_sst";"";"";""
"compras-estoque";"compras-estoque.html";"assets/js/compras-estoque.js";"assets/js/pwa-register.js | assets/js/compras-estoque-agrupamento.js | assets/js/compras-estoque-layout.js";"";"compras_estoque_inventarios | compras_estoque_materiais | compras_estoque_movimentacoes | compras_itens | compras_solicitacoes";"";"";""
"compras";"compras.html";"assets/js/compras.js";"";"";"compras_itens | compras_notificacoes_config | compras_solicitacoes | termos_celular";"";"";"Botconversa"
"comprovante-mobile";"comprovante-mobile.html";"assets/js/comprovante-mobile.js";"";"";"compras_itens | financeiro_pagamentos";"";"notas-fiscais";"OCR"
"conferencia-deslocamento";"conferencia-deslocamento.html";"assets/js/conferencia-deslocamento.js";"";"";"operacional_colaborador_base | programacao_veiculo_proprio";"";"";""
"consultar-colaboradores";"consultar-colaboradores.html";"assets/js/consultarColaboradores.js";"";"";"colaboradores_atuais";"";"";"Botconversa"
"consultar-producao";"consultar-producao.html";"assets/js/consultarProducao.js";"";"";"producao_snapshot";"";"";""
"contato-cliente";"contato-cliente.html";"assets/js/contato-cliente.js";"";"";"colaborador_importacoes";"";"";""
"contatos";"contatos.html";"assets/js/contatos.js";"";"";"";"";"";""
"contratos";"contratos.html";"assets/js/contratos.js";"";"";"rh_contratos_experiencia | rh_rescisoes";"";"";""
"dashboard-socio";"dashboard-socio.html";"assets/js/dashboard-socio.js";"";"";"";"";"";""
"dashboard";"dashboard.html";"assets/js/dashboard.js";"assets/js/dashboardProducaoHistoryLink.js | assets/js/dashboard-regional-map.js";"assets/js/dashboard-os-card-fix.js";"dashboard_cache | metas_producao | operacional_os | patrimonios_snapshot | producao_snapshot";"";"";""
"desempenho";"desempenho.html";"assets/js/desempenho.js";"";"";"";"";"";""
"desenvolvimento";"desenvolvimento.html";"assets/js/desenvolvimento.js";"";"";"";"";"";""
"distribuir-os";"distribuir-os.html";"assets/js/distribuir-os.js";"";"";"operacional_colaborador_base | operacional_os | operacional_os_colaboradores";"";"";""
