RPC;Qtde arquivos;Arquivos
"alocar_os_existente_abertura_os";"1";"assets/js/logistica-abertura-os-workflow.js"
"bonus_competencia_fechada";"1";"assets/js/conferencia-bonus-fechamento.js"
"bonus_producao_competencia";"1";"assets/js/conferencia-bonus.js"
"bonus_solicitar_lancamento_caixa";"1";"assets/js/conferencia-bonus-caixa.js"
"bonus_substituir_auditoria";"1";"assets/js/conferencia-bonus.js"
"corrigir_e_reenviar_abertura_os";"1";"assets/js/logistica-abertura-os-workflow.js"
"dashboard_producao_agregada";"1";"assets/js/dashboard.js"
"decidir_abertura_os";"1";"assets/js/logistica-abertura-os-workflow.js"
"decidir_finalizacao_os_logistica";"2";"assets/js/adm-logistica.js | assets/js/logistica.js"
"dre_notas_fiscais_deduplicadas";"1";"assets/js/modules/dre.js"
"duplicar_programacao_dia";"1";"assets/js/programacao.js"
"enqueue_grm_sync_queue";"1";"assets/js/ti-agentes.js"
"equipe_listar_usuarios";"1";"assets/js/equipe.js"
"faturamento_sync_grm";"1";"assets/js/faturamento.js"
"fob_lote_recente";"1";"assets/js/logistica-fob-page-v9.js"
"gerar_codigo_compra";"1";"assets/js/adm-compras.js"
"grm_despesas_status_por_colaborador";"1";"assets/js/adm-conferencia.js"
"hospedagem_carregar_painel_v2";"1";"assets/js/adm-hotel.js"
"hospedagem_confirmar_pagamento_lote";"1";"assets/js/adm-hotel.js"
"hospedagem_importar_hoteis_json";"2";"assets/js/modules/relatorios.js | assets/js/relatorios.js"
"hospedagem_realizar_checkout";"1";"assets/js/adm-hotel.js"
"hospedagem_v3_cancelar_item";"1";"assets/js/hospedagem.js"
"hospedagem_v3_criar_pagamento";"1";"assets/js/adm-hotel.js"
"hospedagem_v3_criar_solicitacao";"2";"assets/js/hospedagem.js | assets/js/programacao-despesas.js"
"hospedagem_v3_editar_solicitacao";"1";"assets/js/hospedagem.js"
"hospedagem_v3_iniciar_cotacao";"1";"assets/js/adm-hotel.js"
"hospedagem_v3_preparar_nova_reserva_alteracao";"1";"assets/js/adm-hotel.js"
"hospedagem_v3_recusar_item";"1";"assets/js/adm-hotel.js"
"hospedagem_v3_registrar_extra";"1";"assets/js/adm-hotel.js"
"hospedagem_v3_registrar_parcela";"1";"assets/js/adm-hotel.js"
"hospedagem_v3_responder_checkout";"1";"assets/js/hospedagem.js"
"hospedagem_v3_solicitar_alteracao";"1";"assets/js/hospedagem.js"
"hospedagem_v3_solicitar_reserva";"1";"assets/js/adm-hotel.js"
"hospedagem_v3_tratar_alteracao";"1";"assets/js/adm-hotel.js"
"hospedagem_v3_validar_checkout";"1";"assets/js/adm-hotel.js"
"informar_ponto_problema_abertura_os";"1";"assets/js/logistica-abertura-os-workflow.js"
"invalidar_dashboard_cache_segmentado";"1";"assets/js/modules/relatorios.js"
"limpar_patrimonios_snapshot";"4";"assets/js/importarPatrimonios.js | assets/js/modules/relatorios.js | assets/js/patrimoniosAgentSync.js | assets/js/relatorios.js"
"programacao_colaboradores_supervisao";"2";"assets/js/programacao-equipe.js | assets/js/programacao.js"
"programacao_etapa_b_candidatos";"1";"assets/js/programacao-equipe.js"
"programacao_listar_supervisoes";"1";"assets/js/hospedagem.js"
"programacao_supervisoes_com_os_acionavel";"1";"assets/js/programacao.js"
"reenviar_abertura_os_corrigida";"1";"assets/js/logistica-abertura-os-correcao.js"
"reorder_grm_sync_queue";"1";"assets/js/ti-agentes.js"
"resumo_faturamento_notas_periodo";"2";"assets/js/modules/dashboard-diretoria.js | assets/js/modules/dashboard-socio.js"
"rh_plantao_setores_acesso";"2";"assets/js/equipe.js | assets/js/plantao.js"
"rpc_get_user_context";"2";"assets/js/auth.js | assets/js/authContext.js"
"rpc_programacao_colaboradores_por_ids";"1";"assets/js/adm-conferencia.js"
"sincronizar_frotas_veiculos_patrimonios";"5";"assets/js/importarPatrimonios.js | assets/js/modules/frotas-veiculos.js | assets/js/modules/relatorios.js | assets/js/patrimoniosAgentSync.js | assets/js/relatorios.js"
"substituir_producao_snapshot_periodo";"1";"assets/js/producaoSnapshotAgentSync.js"
"update_grm_sync_agent_setting";"2";"assets/js/ti-agentes-filas-v2.js | assets/js/ti-agentes.js"
