Tabela;Qtde arquivos;Arquivos
"app_auditoria";"2";"assets/js/core/audit.js | assets/js/logs-usuarios.js"
"app_logs_usuarios";"4";"assets/js/activityLogger.js | assets/js/adm-conferencia.js | assets/js/core/audit.js | assets/js/logs-usuarios.js"
"app_modulos";"1";"assets/js/admin-configuracoes.js"
"app_usuarios";"10";"assets/js/admin-configuracoes.js | assets/js/faturamento.js | assets/js/gestor-app-dashboard-live-fix.js | assets/js/gestor-app-mobile-home-fix.js | assets/js/gestor-app-supervisao-fix.js | assets/js/gestor-app.js | assets/js/gestor-mobile-modules-v2.js | assets/js/os-mobile.js | assets/js/os.js | assets/js/programacao.js"
"auditoria_agrupamentos";"1";"assets/js/admin-auditoria.js"
"auditoria_solicitacoes";"3";"assets/js/adm-conferencia.js | assets/js/admin-auditoria.js | assets/js/auditoria.js"
"bonus_auditoria_inaptos";"1";"assets/js/conferencia-bonus.js"
"bonus_caixa_lancamentos";"1";"assets/js/conferencia-bonus-caixa.js"
"botconversa_jobs";"2";"assets/js/modules/ti.js | assets/js/ti-agentes.js"
"botconversa_logs";"2";"assets/js/ti-agentes.js | assets/js/ti-comunicacao.js"
"chamados_ti";"1";"assets/js/chamados-ti.js"
"chamados_ti_comentarios";"1";"assets/js/chamados-ti.js"
"clientes_nacionais";"2";"assets/js/logistica-clientes-filiais-pagadoras.js | assets/js/logistica.js"
"colaborador_cruzamento";"7";"assets/js/adm-hotel-hospedados.js | assets/js/equipe.js | assets/js/mapa-operacional-corredor.js | assets/js/mapa-operacional-programacao.js | assets/js/mapa-operacional.js | assets/js/programacao-equipe.js | assets/js/programacao.js"
"colaborador_importacoes";"4";"assets/js/contato-cliente.js | assets/js/historicoColaboradores.js | assets/js/importarColaboradores.js | assets/js/modules/relatorios.js"
"colaborador_snapshot";"1";"assets/js/efetivosSemProducao.js"
"colaboradores";"9";"assets/js/btg-logistica.js | assets/js/epiRh.js | assets/js/logistica-informativos-efetivos.js | assets/js/plantao.js | assets/js/programacao-despesas.js | assets/js/programacao-equipe.js | assets/js/programacao.js | assets/js/termos.js | assets/js/ti-comunicacao.js"
"colaboradores_alteracoes";"1";"assets/js/consultarColaboradores.js"
"colaboradores_atuais";"8";"assets/js/consultarColaboradores.js | assets/js/modules/frotas-motoristas.js | assets/js/modules/frotas-multas.js | assets/js/modules/frotas-termo-veiculos.js | assets/js/operacional-irregularidades-acoes.js | assets/js/programacao-equipe.js | assets/js/programacao.js | assets/js/ti-contatos.js"
"colaboradores_historico";"1";"assets/js/modules/relatorios-colaboradores-historico.js"
"compras_catalogo";"2";"assets/js/adm-compras.js | assets/js/compras.js"
"compras_estoque_inventarios";"1";"assets/js/compras-estoque.js"
"compras_estoque_materiais";"3";"assets/js/adm-compras.js | assets/js/compras-estoque-agrupamento.js | assets/js/compras-estoque.js"
"compras_estoque_movimentacoes";"2";"assets/js/adm-compras.js | assets/js/compras-estoque.js"
"compras_itens";"8";"assets/js/adm-compras.js | assets/js/adm-hotel-alojamentos-compras.js | assets/js/compras-estoque.js | assets/js/compras.js | assets/js/comprovante-mobile.js | assets/js/epiRh.js | assets/js/financeiro.js | assets/js/termos.js"
"compras_notificacoes_config";"4";"assets/js/adm-compras.js | assets/js/admin-configuracoes.js | assets/js/compras.js | assets/js/termos.js"
"compras_patrimonios_cadastro";"4";"assets/js/adm-compras.js | assets/js/adm-patrimonio.js | assets/js/gestor-app.js | assets/js/patrimonios.js"
"compras_solicitacoes";"4";"assets/js/adm-hotel-alojamentos-compras.js | assets/js/compras-estoque.js | assets/js/compras.js | assets/js/epiRh.js"
"conferencia_despesas";"1";"assets/js/adm-conferencia.js"
"conferencia_localizacao_colaboradores";"1";"assets/js/adm-conferencia.js"
"conferencia_uber_corridas";"3";"assets/js/modules/relatorios.js | assets/js/relatorios.js | assets/js/uber.js"
"dashboard_cache";"4";"assets/js/dashboard.js | assets/js/gestor-app-dashboard-live-fix.js | assets/js/gestor-app.js | assets/js/modules/relatorios.js"
"dashboard_socios_notas_emitidas_api";"1";"assets/js/dashboard-socio.js"
"dashboard_socios_recebimentos_api";"1";"assets/js/dashboard-socio.js"
"dre_despesas_mensal";"3";"assets/js/modules/dashboard-socio.js | assets/js/modules/metas.js | assets/js/modules/relatorios.js"
"efetivos_sem_producao";"1";"assets/js/efetivosSemProducao.js"
"email_accounts";"1";"assets/js/admin-configuracoes.js"
"email_accounts_public";"4";"assets/js/emails-layout.js | assets/js/emails.js | assets/js/gestor-app.js | assets/js/gestor-email.js"
"email_attachments";"2";"assets/js/emails.js | assets/js/gestor-email.js"
"email_historico";"1";"assets/js/emails.js"
"email_messages";"6";"assets/js/emails-layout-v2.js | assets/js/emails-layout.js | assets/js/emails.js | assets/js/gestor-app.js | assets/js/gestor-email.js | assets/js/modules/ti.js"
"email_outbox";"3";"assets/js/emails.js | assets/js/gestor-app.js | assets/js/gestor-email.js"
"envios_destinatarios";"2";"assets/js/envios.js | assets/js/telegrama.js"
"envios_postagens";"1";"assets/js/envios.js"
"envios_remetentes";"3";"assets/js/envios.js | assets/js/telegrama.js | assets/js/termos.js"
"envios_reversa";"1";"assets/js/envios.js"
"envios_telegramas";"1";"assets/js/telegrama.js"
"equipe_administracao_usuarios";"1";"assets/js/equipe.js"
"equipe_gestores_regionais";"1";"assets/js/equipe.js"
"financeiro_adiantamentos_decisoes";"2";"assets/js/financeiro-adiantamentos-lote.js | assets/js/financeiro.js"
"financeiro_alimentacao_colaboradores";"1";"assets/js/programacao-janta-hotel.js"
"financeiro_contas_pagar";"1";"assets/js/financeiro.js"
"financeiro_contas_receber";"2";"assets/js/financeiro.js | assets/js/modules/dashboard-socio.js"
"financeiro_fluxo_caixa_diario";"1";"assets/js/financeiro.js"
"financeiro_notas_fiscais_resumo";"2";"assets/js/financeiro-adiantamentos-lote.js | assets/js/financeiro.js"
"financeiro_pagamentos";"8";"assets/js/adm-compras.js | assets/js/adm-hotel-alojamentos-pagamentos.js | assets/js/adm-hotel.js | assets/js/admin-auditoria.js | assets/js/comprovante-mobile.js | assets/js/financeiro-alojamentos-faturas.js | assets/js/financeiro.js | assets/js/termos.js"
"financeiro_pagamentos_execucoes";"2";"assets/js/financeiro-adiantamentos-lote.js | assets/js/financeiro.js"
"financeiro_pagamentos_linhas";"2";"assets/js/financeiro-adiantamentos-lote.js | assets/js/financeiro.js"
"financeiro_provisoes";"1";"assets/js/financeiro.js"
"financeiro_saldos_dia";"1";"assets/js/financeiro.js"
"frota_solicitacoes";"1";"assets/js/modules/programacao.api.example.js"
"frotas_checklists";"1";"assets/js/dashboard.js"
"frotas_excesso_velocidade";"3";"assets/js/modules/frotas.js | assets/js/modules/relatorios.js | assets/js/relatorios.js"
"frotas_fora_horario";"1";"assets/js/modules/frotas.js"
"frotas_manutencoes";"1";"assets/js/modules/dashboard-socio.js"
"frotas_motoristas";"3";"assets/js/modules/frotas-motoristas.js | assets/js/modules/frotas-termo-veiculos.js | assets/js/programacao-equipe.js"
"frotas_multas";"3";"assets/js/modules/frotas-multas-action-reconcile.js | assets/js/modules/frotas-multas-one-time-xlsx.js | assets/js/modules/frotas-multas.js"
"frotas_posicoes";"1";"assets/js/modules/frotas-roteirizacao.js"
"frotas_posicoes_historico";"4";"assets/js/mapa-operacional-auditoria.js | assets/js/mapa-operacional-corredor.js | assets/js/mapa-operacional-programacao.js | assets/js/mapa-operacional.js"
"frotas_print_ocr_execucoes";"1";"assets/js/modules/frotas.js"
"frotas_rastreadores";"2";"assets/js/modules/frotas-rastreadores-bfleet-status.js | assets/js/modules/frotas-rastreadores.js"
"frotas_rastreadores_removidos";"2";"assets/js/modules/frotas-rastreadores-bfleet-status.js | assets/js/modules/frotas-rastreadores.js"
"frotas_rotas";"2";"assets/js/mapa-operacional.js | assets/js/modules/frotas-roteirizacao.js"
"frotas_rotas_paradas";"1";"assets/js/modules/frotas-roteirizacao.js"
"frotas_trocas_oleo";"1";"assets/js/modules/dashboard-socio.js"
